BT1:1
BT2:1
BUZZER:1
BZ1:1
D1:1
D2:1
D3:1
D4:1
D5:1
G***:19
LIGHT:1
M1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
REF**:1
VIBRATOR:1
